1:05.8;Hungary;000000001905-12-03-00003 Dec 1905
1:05.6;United States;000000001908-07-20-000020 Jul 1908
1:02.8;United States;000000001910-04-15-000015 Apr 1910
1:02.4;Germany;000000001912-04-06-00006 Apr 1912
1:01.6;United States;000000001912-07-20-000020 Jul 1912
1:01.4;United States;000000001918-08-09-00009 Aug 1918
1:00.4;United States;000000001920-08-24-000024 Aug 1920
58.6;United States;000000001922-07-19-000019 Jul 1922
57.4;United States;000000001924-02-17-000017 Feb 1924
56.8;United States;000000001934-03-02-00002 Mar 1934
56.6;United States;000000001935-03-05-00005 Mar 1935
56.4;United States;000000001936-02-11-000011 Feb 1936
55.9;United States;000000001944-04-13-000013 Apr 1944
55.8;France;000000001947-09-15-000015 Sep 1947
55.4;United States;000000001948-06-29-000029 Jun 1948
54.8;United States;000000001954-04-01-00001 Apr 1954
55.4;Australia;000000001956-11-30-000030 Nov 1956
55.2;Australia;000000001957-01-19-000019 Jan 1957
54.6;Australia;000000001957-01-28-000028 Jan 1957
54.4;United States;000000001961-08-18-000018 Aug 1961
53.6;Brazil;000000001961-09-20-000020 Sep 1961
52.9;France;000000001964-09-13-000013 Sep 1964
52.9;United States;000000001964-10-14-000014 Oct 1964
52.6;United States;000000001967-07-27-000027 Jul 1967
52.6;United States;000000001968-09-02-00002 Sep 1968
52.2;Australia;000000001968-10-19-000019 Oct 1968
51.94;United States;000000001970-08-23-000023 Aug 1970
51.47;United States;000000001972-08-05-00005 Aug 1972
51.22;United States;000000001972-09-03-00003 Sep 1972
51.12;United States;000000001975-06-21-000021 Jun 1975
51.11;United States;000000001975-08-03-00003 Aug 1975
50.59;United States;000000001975-08-23-000023 Aug 1975
50.39;United States;000000001976-07-24-000024 Jul 1976
49.99;United States;000000001976-07-25-000025 Jul 1976
49.44;South Africa;000000001976-08-14-000014 Aug 1976
49.36;United States;000000001981-04-03-00003 Apr 1981
49.24;United States;000000001985-08-06-00006 Aug 1985
48.95;United States;000000001985-08-06-00006 Aug 1985
48.74;United States;000000001986-06-24-000024 Jun 1986
48.42;United States;000000001988-08-10-000010 Aug 1988
48.21;Russia;000000001994-06-18-000018 Jun 1994
48.18;Australia;000000002000-09-16-000016 Sep 2000
47.84;Netherlands;000000002000-09-19-000019 Sep 2000
47.60;France;000000002008-03-21-000021 Mar 2008
47.50;France;000000002008-03-22-000022 Mar 2008
47.24;Australia;000000002008-08-11-000011 Aug 2008
47.20;France;000000002008-08-13-000013 Aug 2008
47.05;Australia;000000002008-08-13-000013 Aug 2008
46.94;France;000000002009-04-23-000023 Apr 2009
46.91;Brazil;000000002009-07-30-000030 Jul 2009
